iter	Passed	Remaining
530	44249	39083
531	44355	39019
532	44449	38945
533	44524	38854
534	44613	38776
535	44705	38700
536	44786	38614
537	44871	38532
538	44959	38453
539	45040	38367
540	45112	38275
541	45213	38205
542	45312	38135
543	45402	38057
544	45497	37984
545	45586	37905
546	45681	37831
547	45760	37743
548	45844	37661
549	45934	37582
550	46025	37505
551	46103	37417
552	46187	37334
553	46263	37244
554	46344	37159
555	46422	37071
556	46505	36987
557	46591	36905
558	46665	36814
559	46752	36734
560	46831	36646
561	46911	36560
562	46996	36478
563	47072	36389
564	47148	36300
565	47226	36212
566	47315	36133
567	47399	36050
568	47479	35964
569	47569	35885
570	47644	35795
571	47732	35715
572	47804	35624
573	47890	35542
574	47959	35448
575	48038	35361
576	48108	35268
577	48203	35193
578	48290	35112
579	48379	35033
580	48460	34948
581	48528	34853
582	48598	34760
583	48695	34687
584	48775	34601
585	48851	34513
586	48936	34430
587	49013	34342
588	49090	34255
589	49184	34178
590	49263	34092
591	49349	34011
592	49435	33929
593	49531	33855
594	49602	33762
595	49688	33681
596	49776	33601
597	49861	33518
598	49950	33439
599	50032	33354
600	50107	33265
601	50209	33194
602	50297	33114
603	50374	33027
604	50473	32953
605	50565	32876
606	50652	32794
607	50740	32714
608	50819	32627
609	50889	32535
610	50962	32446
611	51047	32363
612	51139	32285
613	51209	32193
614	51283	32104
615	51369	32022
616	51465	31946
617	51558	31869
618	51629	31778
619	51711	31693
620	51800	31614
621	51878	31527
622	51969	31448
623	52052	31365
624	52126	31275
625	52211	31193
626	52284	31104
627	52371	31022
628	52439	30930
629	52531	30851
630	52627	30775
631	52706	30690
632	52788	30605
633	52860	30515
634	52946	30433
635	53038	30355
636	53123	30272
637	53219	30196
638	53302	30113
639	53384	30028
640	53472	29948
641	53549	29860
642	53621	29771
643	53710	29691
644	53797	29609
645	53897	29535
646	53978	29450
647	54058	29365
648	54137	29279
649	54223	29197
650	54307	29114
651	54396	29033
652	54485	28953
653	54550	28859
654	54618	28768
655	54688	28677
656	54772	28595
657	54857	28512
658	54936	28426
659	55015	28341
660	55100	28258
661	55189	28178
662	55264	28090
663	55332	27999
664	55416	27916
665	55506	27836
666	55575	27745
667	55637	27652
